No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	Primary Category	Secondary Category	Pin Count	LCSC Stock	LCSC Price	JLCPCB Stock	JLCPCB Price	Layer	Mounting Style	Add into BOM	Convert to PCB	3D Model Title	Device	Unique ID	Name
1	1	2.4kHz	BUZZER1	BUZ-TH_BD12.0-P7.60-D0.6-FD	2.4kHz	TMB12A05	华能	C96093	LCSC	Audio Products / Vibration Motors	Buzzers	2			37509	0.0278	T	DIP	yes		BUZ-TH_D12.0-H9.5-P7.60	TMB12A05	gge24	2.4kHz
2	3	1uF	C1,C2,C3	CASE-A_3216	1uF	TAJA105K025RNJ	Kyocera AVX	C7175	LCSC	Capacitors	Tantalum Capacitors	2			21881	0.0259	T	SMT	yes		CASE-A_3216	TAJA105K025RNJ	gge46,gge51,gge52	1uF
3	6	1N4148	D1,D2,D3,D4,D5,D6	DO-35_BD2.0-L4.2-P8.20-D0.5-RD		1N4148	SMC(桑德斯)	C493188	LCSC	Diodes	Switching Diodes	2			2303	0.0028	T	DIP	yes		DO-35_D1.9-L3.9-P8.2	1N4148_C493188	gge10,gge10_1,gge11,gge12,gge13,gge47	1N4148
4	1	PH2.54-1X5P-H25	H1	HDR-TH_5P-P2.54-V-M-3		PH2.54-1X5P-H25	JXTCONN(聚兴泰)	C42431835	LCSC	Connectors	Pin Headers	5			27414	0.0042	T	DIP	yes		HDR-TH_5P-P2.54-V-M-3	PH2.54-1X5P-H25	gge48	PH2.54-1X5P-H25
5	1	68000-200HLF	H2	HDR-TH_1P-P2.54-V-M		68000-200HLF	Amphenol	C213187	LCSC	Connectors	Pin Headers	1			0		T	DIP	yes		HDR2.54-M-LI-1X1P	68000-200HLF	gge49	68000-200HLF
6	6	YLED0603R	LED1,LED2,LED3,LED4,LED5,LED6	LED0603-FD		YLED0603R	YONGYUTAI(永裕泰)	C19171390	LCSC	Optoelectronics	LED Indication - Discrete	2			195361	0.001	T	SMT	yes		LED0603_Inf	YLED0603R	gge35,gge37,gge40,gge42,gge43,gge44	YLED0603R
7	5	BC548B	Q1,Q2,Q3,Q4,Q5	TO-92-3_L4.9-W3.7-P1.27-L		BC548B	LGE(鲁光)	C713615	LCSC	Transistors/Thyristors	Bipolar (BJT)	3			6324	0.0071	T	DIP	yes		TO-92-3_L4.9-W3.7-P1.27-L	BC548B	gge26,gge27,gge28,gge29,gge30	BC548B
8	14	1kΩ	R1,R2,R3,R4,R5,R6,R7,R8,R9,R12,R13,R14,R15,R16	R0805	1kΩ	FRC0805J102 TS	FOJAN(富捷)	C2907295	LCSC	Resistors	Chip Resistor - Surface Mount	2			5838732	0.0003	T	SMT	yes		R0805_L2.0-W1.3-H0.6	FRC0805J102 TS	gge14,gge15,gge16,gge17,gge18,gge19,gge20,gge21,gge22,gge25,gge36,gge38,gge39,gge41	1kΩ
9	1	10kΩ	R10	R0603	10kΩ	FRC0603J103 TS	FOJAN(富捷)	C2930027	LCSC	Resistors	Chip Resistor - Surface Mount	2			2057910	0.0002	T	SMT	yes		R0603	FRC0603J103 TS	gge23	10kΩ
10	1	100Ω	R17	R1206	100Ω	FRC1206F1000TS	FOJAN(富捷)	C2907369	LCSC	Resistors	Chip Resistor - Surface Mount	2			487852	0.0006	T	SMT	yes		R1206_L3.2-W1.6-H0.6	FRC1206F1000TS	gge45	100Ω
11	4	SRD-05VDC-SL-C	RLY1,RLY2,RLY3,RLY4	RELAY-TH_SRD-XXVDC-XL-C		SRD-05VDC-SL-C	松乐	C35449	LCSC	Relays	Power Relays	5			119720	0.0714	T	DIP	yes		RELAY-TH_L19.2-W15.6-H15.8	SRD-05VDC-SL-C	gge2,gge3,gge4,gge5	SRD-05VDC-SL-C
12	1	NODEMCU(12F)	U1	COMM-TH_NODEMCU-12F		NODEMCU(12F)	Ai-Thinker(安信可)	C2764098	LCSC	Development Boards & Tools	Development Boards & Kits	30			3	0.9185	T	DIP	yes			NODEMCU(12F)	gge1	NODEMCU(12F)
13	4	PC817X2CSP9F	U2,U3,U4,U5	SMD-4_L4.6-W6.5-P2.54-LS10.2-TL		PC817X2CSP9F	SHARP(夏普)	C66405	LCSC	Optoisolators	Transistor, Photovoltaic Output Optoisolators	4			198440	0.0144	T	SMT	yes		SMD-4_L4.6-W6.5-H3.7-LS10.2-P2.54	PC817X2CSP9F	gge6,gge7,gge8,gge9	PC817X2CSP9F
14	4	DB125-2.54-3P-GN-S	U6,U7,U8,U9	CONN-TH_DB125-2.54-3P-GN		DB125-2.54-3P-GN-S	DORABO(地博电气)	C918121	LCSC	Connectors	Screw Terminal Blocks	3			16157	0.0568	T	DIP	yes		CONN-TH_DB125-2.54-3P-GN	DB125-2.54-3P-GN-S	gge31,gge32,gge33,gge34	DB125-2.54-3P-GN-S
15	1	L7805CV	U10	TO-220-3_L10.0-W4.5-P2.54-L		L7805CV	ST(意法半导体)	C111887	LCSC	Power Management (PMIC)	Voltage Regulators - Linear, Low Drop Out (LDO) Regulators	3			19096	0.0476	T	DIP	yes		TO-220-3_L10.0-W4.5-P2.54-L	L7805CV_C111887	gge50	L7805CV
16	2	XY-XHB2.54-2A11	U11,U12	CONN-TH_2P-P2.50_XY-XHB2.54-2A11		XY-XHB2.54-2A11	XYECONN(辛译)	C19271386	LCSC	Connectors	Wire To Board Connector	2			72260	0.0017	T	DIP	yes		CONN-TH_2P-P2.50_XY-XHB2.54-2A11	XY-XHB2.54-2A11	gge53,gge53_1	XY-XHB2.54-2A11
